Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,1.848594,1.816357,1.882449
Naive,32,167797808.582534,0.199870,0.280054,787.971973,887.448311,533.599854
Naive,64,167797809.092688,0.196299,0.280386,755.872250,888.141155,533.820629
Naive,128,167797809.597111,0.196200,0.280233,755.962849,887.453556,533.836365
Naive,256,167797810.104879,0.196226,0.280600,756.007195,888.475180,533.806801
Naive,512,167797810.609792,0.196381,0.280077,755.986214,887.811661,533.911467
Naive,1024,167797811.117042,0.196313,0.279813,756.050110,887.854338,534.070492
Transpose,32,167797811.632465,0.193272,0.270831,808.390141,798.976660,533.895969
Transpose,64,167797812.141147,0.179178,0.271070,680.954456,798.028946,533.905506
Transpose,128,167797812.646660,0.178870,0.271300,680.972099,798.314333,533.812761
Transpose,256,167797813.151194,0.178659,0.271278,680.989027,796.573877,533.441305
Transpose,512,167797813.656250,0.179013,0.271426,681.024313,798.874378,534.172535
Transpose,1024,167797814.159054,0.178881,0.270699,681.477070,795.777798,532.887459
Shmem,32,167797814.667134,0.187035,0.271375,754.431725,797.995567,534.184933
Shmem,64,167797815.147672,0.154823,0.271113,465.522289,797.366619,533.468962
Shmem,128,167797815.616506,0.140592,0.271014,340.327501,797.936440,533.825159
Shmem,256,167797816.084110,0.140731,0.271413,341.766596,797.888041,534.250259
Shmem,512,167797816.552081,0.141077,0.271051,345.870018,796.478987,533.070087
Shmem,1024,167797817.026118,0.142385,0.271122,353.492260,799.426794,534.275055
